index,uids,synonyms,common_name,ignore,umls_cuis,model_relevance_bucket,freq
0,"[13338, 4723, 4724, 40309, 51486]","['hypertension', 'htn', 'high blood pressure', 'elevated blood pressure', 'malignant hypertension', 'essential hypertension', 'diastolic hypertension', 'systemic hypertension', 'blood pressure high']",hypertension,0,"['C0085580', 'C0020538', 'C0020540', 'C0221154', 'C0235222']",0,0.0275654456952622
1,[2688],"['diabetes mellitus', 'diabetes', 'DM']",diabetes mellitus,0,['C0011849'],1,0.019882712705096704
2,[2691],"['dmii', 'noninsulin-dependent diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'non-insulin dependent diabetes mellitus', 'type 2 diabetes', 'diabetes mellitus ii', 'type 2 diabetes mellitus', 'diabetes mellitus type 2', 'type ii diabetes mellitus', 'diabetes mellitus type ii', 'non-insulin-dependent diabetes', 'type ii diabetes', 'diabetes type 2', 'diabetes type ii', 't2dm', 'non-insulin dependent diabetes', 'aodm', 'niddm', 'adult onset diabetes mellitus', 'adult onset diabetes']",type 2 diabetes,0,['C0011860'],1,0.0037318040820778094
3,"[2689, 84939]","['insulin-dependent diabetes mellitus', 'insulin-dependent diabetes', 'type 1 diabetes', 'type 1 diabetes mellitus', 'diabetes mellitus type 1', 'type i diabetes mellitus', 'diabetes mellitus type i', 'type i diabetes', 't1dm', 'insulin dependent diabetes mellitus', 'insulin dependent diabetes', 'diabetes type 1', 'brittle diabetes mellitus', 'iddm', 'brittle diabetes', 'iddm1', 'diabetes type i', 'juvenile onset diabetes', 'diabetes mellitus insulin dependent', 'labile diabetes', 'diabetes brittle']",type 1 diabetes,0,"['C0011854', 'C0342302']",1,0.002300968550164177
4,[4986],"['insulin', 'regular insulin']",insulin,1,['C0021641'],1,0.011387331014474894
5,"[2304, 307633, 2302, 52655]","['coronary artery disease', 'CAD', 'coronary disease', 'coronary heart disease', 'coronary arteriosclerosis', 'coronary stenosis', 'myocardial ischemia', 'cardiac ischemia']",coronary artery disease,0,"['C0010068', 'C1956346', 'C0010054', 'C0242231']",3,0.007914709862285547
6,[13484],"['depressive symptoms', 'symptoms of depression', 'depression symptoms']",depressive symptoms,0,['C0086132'],4,0.0010732567908364056
7,"[2632, 2627, 192635]","['depression', 'chronic depression', 'depressive disorder', 'depressions', 'depressive illness', 'depression chronic']",depression,0,"['C0011581', 'C0011570', 'C0581391']",4,0.017827187513614232
8,"[198228, 245438]","['severe depression', 'major depression', 'major depressive disorder']",severe depression,0,"['C0588008', 'C1269683']",4,0.0013418440731906105
9,[82279],"['anxiety/depression', 'anxiety depression', 'depression anxiety']",anxiety/depression,0,['C0338908'],9,0.0002074760591171933
10,[38],"['abdominal cramping', 'crampy abdominal pain', 'abdominal cramps', 'abdominal cramp']",abdominal cramping,0,['C0000729'],13,0.0004180072527014792
11,"[319697, 49485]","['chronic abdominal pain', 'recurrent abdominal pain', 'abdominal pain chronic', 'abdominal chronic pain']",chronic abdominal pain,0,"['C2585575', 'C0232491']",13,0.0009744342848896676
12,"[176123, 60517, 205546, 42, 176124, 49486, 49487, 49489, 49492, 51510, 52155, 52156, 49482]","['abdomen pain', 'abdominal pain', 'epigastric pain', 'right upper quadrant pain', 'right lower quadrant pain', 'left lower quadrant pain', 'lower abdominal pain', 'epigastric abdominal pain', 'left lower quadrant abdominal pain', 'right lower quadrant abdominal pain', 'right upper quadrant abdominal pain', 'left upper quadrant pain', 'abdominal discomfort', 'left upper quadrant abdominal pain', 'upper abdominal pain', 'left sided abdominal pain', 'abdominal tenderness', 'right sided abdominal pain', 'abdomen discomfort', 'abdominal migraine', 'abdominal migraines', 'stomach pain', 'abdominal pains', 'abdomen tenderness', 'pain right lower quadrant', 'abdominal pain right upper quadrant', 'upper abdomen pain', 'abdominal pain left lower quadrant', 'abdominal pain right lower quadrant', 'pain; abdominal', 'lower abdomen pain']",abdominal pain,1,"['C0563276', 'C0270858', 'C0694551', 'C0000737', 'C0563277', 'C0232492', 'C0232493', 'C0232495', 'C0232498', 'C0235299', 'C0238551', 'C0238552', 'C0232487']",13,0.015445146959435024
13,"[51540, 205541, 886, 49247]","['atrial fibrillation', 'afib', 'paroxysmal atrial fibrillation', 'a fib', 'chronic atrial fibrillation', 'fibrillation', 'af', 'intermittent atrial fibrillation', 'atrial fibrillation paroxysmal', 'a-fib']",atrial fibrillation,0,"['C0235480', 'C0694539', 'C0004238', 'C0232197']",6,0.005740008824900985
14,[887],['atrial flutter'],atrial flutter,0,['C0004239'],6,0.00030895260645852867
15,[16843],"['atrial fibrillation/flutter', 'fib/flutter']",atrial fibrillation/flutter,0,['C0155709'],6,5.318323463385771e-05
16,"[89293, 862, 16953, 861, 308030, 55103]","['asthma', 'childhood asthma', 'exercise-induced asthma', 'mild intermittent asthma', 'asthma attack', 'exercise induced asthma', 'bronchial asthma', 'asthma attacks', 'asthmatic', 'allergic asthma', 'asthmas']",asthma,0,"['C0347950', 'C0004099', 'C0155877', 'C0004096', 'C1960045', 'C0264408']",5,0.010208168584709385
17,[329],['albuterol'],albuterol,1,['C0001927'],5,0.005596963674237839
18,[7065],"['pain', 'pains', 'ache', 'pain symptoms']",pain,0,['C0030193'],14,0.08570087408847865
19,"[3684, 269134, 14375]","['chronic pain', 'fibromyalgia', 'chronic pain syndrome', 'chronic pains', 'myofascial pain syndrome', 'chronic pain syndromes', 'pain; chronic', 'fibromyalgias', 'fibromyositis']",chronic pain,0,"['C0016053', 'C1298685', 'C0150055']",15,0.004051022964413189
20,[213685],"['uncontrolled pain', 'pain uncontrolled']",uncontrolled pain,0,['C0747149'],15,4.010077335438019e-05
21,"[205643, 10252]","['coumadin', 'warfarin']",coumadin,1,"['C0699129', 'C0043031']",10,0.008701637402731196
22,[669],"['antihypertensives', 'antihypertensive agents', 'antihypertensive', 'anti-hypertensives']",antihypertensives,0,['C0003364'],0,0.0006233669058191223
23,"[55362, 4293]","['congestive heart failure', 'CHF', 'CHD', 'hf', 'dCHF', 'diastolic congestive heart failure', 'heart failure', 'chronic congestive heart failure', 'chronic heart failure', 'HFrEF', 'HFpEF']",congestive heart failure,0,"['C0264722', 'C0018802']",8,0.003836591780741021
24,"[3953, 3380, 4317, 49478]","['gastroesophageal reflux disease', 'reflux', 'esophagitis', 'heartburn', 'acid reflux', 'gastroesophageal reflux', 'gerd', 'gastric reflux', 'esophageal reflux', 'acid reflux disease', 'heart burn']",gastroesophageal reflux disease,0,"['C0017168', 'C0014868', 'C0018834', 'C0232483']",12,0.009835527518675679
25,"[212785, 5635]","['chronic obstructive pulmonary disease', 'COPD', 'COLD', 'mild chronic obstructive pulmonary disease', 'chronic obstructive lung disease', 'chronic obstructive airway disease']",chronic obstructive pulmonary disease,0,"['C0730604', 'C0024117']",11,0.0038342364256770045
26,[212788],['severe chronic obstructive pulmonary disease'],severe chronic obstructive pulmonary disease,0,['C0730607'],11,0.00012504716577180954
27,"[169760, 342, 13429, 334, 341]","['alcohol abuse', 'alcoholism', 'alcohol use', 'alcohol intoxication', 'alcohol dependence', 'chronic alcohol abuse', 'chronic alcoholism', 'drinking alcohol', 'alcohol intake', 'drunk', 'binge drinking', 'alcohol consumption', 'EtOH abuse', 'alcohol ingestion', 'ethanol abuse', 'alcohol binge', 'acute alcohol intoxication', 'drink alcohol', 'alcoholic intoxication', 'drinking binge', 'alcohol addiction', 'chronic alcohol intoxication', 'EtOHism']",alcohol abuse,0,"['C0556346', 'C0001973', 'C0085762', 'C0001948', 'C0001969']",18,0.01363975023507681
28,[337],"['alcohol', 'etoh', 'ethanol', 'drinking alcohol']",alcohol,1,['C0001962'],18,0.009497525533094296
29,"[216666, 303284]","['recurrent pulmonary embolism', 'chronic pulmonary embolism']",recurrent pulmonary embolism,0,"['C0856722', 'C1735914']",20,3.0832963211188685e-05
30,[8037],"['pulmonary embolism', 'PEs', 'PE', 'pulmonary embolisms', 'pulmonary embolus', 'pulmonary emboli', 'pulm embolism', 'blood clot in lungs']",pulmonary embolism,0,['C0034065'],20,0.0029816405619791844
31,[7104],"['pancreatitis', 'pancreatic inflammation']",pancreatitis,0,['C0030305'],31,0.0016886786402620555
32,"[53697, 14180]","['chronic pancreatitis', 'recurrent pancreatitis', 'acute on chronic pancreatitis', 'pancreatitis chronic']",chronic pancreatitis,0,"['C0262417', 'C0149521']",31,0.0008484398567551563
33,[194],"['acute pancreatitis', 'pancreatitis; acute']",acute pancreatitis,0,['C0001339'],31,0.00010863648538013616
34,"[162218, 3283]","['grand mal seizures', 'grand mal', 'grand mal seizure', 'tonic clonic seizure', 'tonic-clonic seizure', 'tonic-clonic seizures', 'generalized tonic-clonic seizures', 'generalized tonic-clonic seizure', 'tonic clonic seizures', 'generalized tonic clonic seizures', 'grand mal epilepsy', 'tonic clonic seizure disorder']",grand mal seizures,0,"['C0494475', 'C0014549']",19,0.00022254691796882886
35,"[51136, 14338, 8598, 213919]","['seizures', 'seizure', 'seizure d', 'complex partial seizures', 'partial seizures', 'partial complex seizures', 'complex partial seizure', 'generalized seizure', 'generalized seizures', 'partial seizure', 'focal seizures', 'fits', 'convulsion', 'generalized convulsions', 'fitted', 'fitting', 'partial complex seizure', 'convulsions', 'partial focal seizure', 'focal seizure']",seizures,0,"['C0234533', 'C0149958', 'C0036572', 'C0751495']",19,0.013067910988230607
36,[9022],['status epilepticus'],status epilepticus,0,['C0038220'],19,7.029369442860815e-05
37,"[14326, 81943]","['migraines', 'migraine', 'migraine headaches', 'migraine headache', 'complex migraine', 'complicated migraines', 'complicated migraine', 'migraine type headaches', 'migraine syndrome']",migraines,0,"['C0149931', 'C0338483']",16,0.005823786073681565
38,"[704, 192630]","['anxiety', 'anxious', 'chronic anxiety', 'anxious behavior', 'feel anxious', 'feeling anxious', 'anxiety disorder', 'anxiety disorders']",anxiety,0,"['C0003467', 'C0581386', 'C0003469']",9,0.017255015444856806
39,[6408],"['nausea', 'nauseated', 'nauseous', 'queasy', 'feeling sick', 'nauseas']",nausea,1,['C0027497'],43,0.012249732323710957
40,[6409],"['n&v', 'n/v', 'nausea and vomiting', 'nausea/vomiting', 'nausea vomiting', 'vomiting and nausea', 'nausea with vomiting']",nausea and vomiting,1,['C0027498'],43,0.0023241636772076343
41,"[49587, 10237]","['vomiting', 'emesis', 'vomit', 'vomited', 'chronic vomiting', 'vomiting disorder', 'vomits']",vomiting,1,"['C0232598', 'C0042963']",43,0.007680650719746584
42,[93410],"['prostate cancer', 'prostate ca', 'prostatic cancer']",prostate cancer,0,['C0376358'],37,0.0015117965952915855
43,[30344],['prostate surgery'],prostate surgery,0,['C0194790'],59,2.9237124816366577e-05
44,"[30361, 7915]","['prostatectomy', 'radical prostatectomy', 'total prostatectomy']",prostatectomy,0,"['C0194810', 'C0033573']",59,0.0002051207040531777
45,[1328],"['breast cancer', 'cancer of breast']",breast cancer,0,['C0006142'],37,0.0
46,[303283],['recurrent deep vein thrombosis'],recurrent deep vein thrombosis,0,['C1735901'],20,4.131258646702586e-05
47,"[10120, 14307, 322843, 61795]","['deep vein thrombosis', 'DVT', 'upper extremity deep vein thrombosis', 'splenic vein thrombosis', 'venous thrombosis', 'vein thrombosis', 'deep venous thrombosis', 'deep vein thromboses']",deep vein thrombosis,0,"['C0042487', 'C0149871', 'C2717899', 'C0272416']",20,0.002894253475546145
48,"[9490, 13627, 68163, 9487]","['blood clots', 'clots', 'clot', 'thrombus', 'thrombosis', 'blood clot', 'thromboembolism', 'thromboembolic disease', 'thrombosed', 'thrombi', 'thrombotic', 'thromboses', 'thromboembolic events', 'thromboembolic event']",blood clots,0,"['C0040053', 'C0087086', 'C0302148', 'C0040038']",20,0.0017743674815583594
49,"[1784, 121252, 121263]","['neck pain', 'thoracic back pain', 'spine pain', 'pain in neck', 'neck ache', 'pain neck', 'cervicalgia', 'cervical pain', 'neck pains']",neck pain,1,"['C0007859', 'C0423673', 'C0423684']",14,0.00267620392032636
50,"[150640, 213485]","['chronic back pain', 'chronic low back pain', 'chronic lower back pain']",chronic back pain,0,"['C0457949', 'C0740418']",14,0.0016519487554956685
